game_date,game_id,team_home,team_away,period,clock,slug_team,player1,description,shot_pts
2021-11-12,22100183,GSW,CHI,1,11:35,CHI,Javonte Green,[CHI 2-0] Green Driving Layup Shot: Made (2 PTS) Assist: DeRozan (1 AST),2
2021-11-12,22100184,LAL,MIN,1,11:27,MIN,D'Angelo Russell,[MIN 1-0] Russell Free Throw 1 of 2 (1 PTS),1
2021-11-13,22100185,UTA,MIA,1,11:30,MIA,P.J. Tucker,[MIA 2-0] Tucker Floating Jump shot: Made (2 PTS) Assist: Robinson (1 AST),2
2021-11-13,22100186,IND,PHI,1,11:37,IND,Chris Duarte,[IND 2-0] Duarte Running Finger Roll Layup Shot: Made (2 PTS),2
2021-11-13,22100187,ORL,WAS,1,10:19,WAS,Aaron Holiday,[WAS 2-0] Holiday Driving Finger Roll Layup Shot: Made (2 PTS) Assist: Dinwiddie (1 AST),2
2021-11-13,22100188,NOP,MEM,1,11:44,NOP,Devonte' Graham,[NOP 2-0] Graham Pullup Jump shot: Made (2 PTS),2
2021-11-13,22100189,TOR,DET,1,11:25,DET,Isaiah Stewart,[DET 2-0] Stewart Cutting Layup Shot: Made (2 PTS) Assist: Cunningham (1 AST),2
2021-11-13,22100190,CLE,BOS,1,10:26,BOS,Grant Williams,[BOS 3-0] Williams 3pt Shot: Made (3 PTS) Assist: Schroder (1 AST),3
2021-11-13,22100191,LAC,MIN,1,11:41,LAC,Nicolas Batum,[LAC 2-0] Batum Running Layup Shot: Made (2 PTS),2
2021-11-14,22100192,LAL,SAS,1,11:36,LAL,Anthony Davis,[LAL 2-0] Davis Fadeaway Jump Shot: Made (2 PTS),2
2021-11-14,22100193,ATL,MIL,1,11:16,ATL,Trae Young,[ATL 3-0] Young 3pt Shot: Made (3 PTS),3
2021-11-14,22100194,CHA,GSW,1,11:40,GSW,Jordan Poole,[GSW 3-0] Poole 3pt Shot: Made (3 PTS) Assist: Green (1 AST),3
2021-11-14,22100195,HOU,PHX,1,11:31,PHX,JaVale McGee,[PHX 2-0] McGee Putback Layup Shot: Made (2 PTS),2
2021-11-14,22100196,OKC,BKN,1,11:20,BKN,Kevin Durant,[BKN 2-0] Durant Jump Shot: Made (2 PTS) Assist: Harris (1 AST),2
2021-11-14,22100197,DEN,POR,1,11:13,DEN,Jeff Green,[DEN 2-0] Green Putback Layup Shot: Made (2 PTS),2
2021-11-14,22100198,LAC,CHI,1,11:26,LAC,Paul George,[LAC 2-0] George Driving Layup Shot: Made (2 PTS),2
2021-11-15,22100199,CLE,BOS,1,10:49,CLE,Darius Garland,[CLE 3-0] Garland 3pt Shot: Made (3 PTS) Assist: Rubio (1 AST),3
2021-11-15,22100200,DET,SAC,1,11:13,DET,Saddiq Bey,[DET 3-0] Bey 3pt Shot: Made (3 PTS) Assist: Stewart (1 AST),3
2021-11-15,22100201,WAS,NOP,1,11:41,NOP,Brandon Ingram,[NOP 2-0] Ingram Pullup Jump shot: Made (2 PTS),2
2021-11-15,22100202,ATL,ORL,1,11:14,ATL,Trae Young,[ATL 2-0] Young Driving Floating Jump Shot: Made (2 PTS),2
2021-11-15,22100203,NYK,IND,1,11:39,NYK,Kemba Walker,[NYK 2-0] Walker Driving Floating Jump Shot: Made (2 PTS),2
2021-11-15,22100204,DAL,DEN,1,11:34,DEN,Austin Rivers,[DEN 3-0] Rivers 3pt Shot: Made (3 PTS) Assist: Jokic (1 AST),3
2021-11-15,22100205,MEM,HOU,1,11:44,HOU,Daniel Theis,[HOU 3-0] Theis 3pt Shot: Made (3 PTS) Assist: Porter Jr. (1 AST),3
2021-11-15,22100206,MIN,PHX,1,11:14,PHX,Devin Booker,[PHX 2-0] Booker Running Finger Roll Layup Shot: Made (2 PTS) Assist: Paul (1 AST),2
2021-11-15,22100207,OKC,MIA,1,10:29,OKC,Luguentz Dort,[OKC 2-0] Dort Running Dunk Shot: Made (2 PTS),2
2021-11-15,22100208,POR,TOR,1,11:09,TOR,OG Anunoby,[TOR 2-0] Anunoby Turnaround Fadeaway shot: Made (2 PTS),2
2021-11-15,22100209,LAL,CHI,1,11:31,LAL,Talen Horton-Tucker,[LAL 3-0] Horton-Tucker 3pt Shot: Made (3 PTS) Assist: Bradley (1 AST),3
2021-11-16,22100210,BKN,GSW,1,11:38,BKN,Patty Mills,[BKN 3-0] Mills 3pt Shot: Made (3 PTS) Assist: Griffin (1 AST),3
2021-11-16,22100211,UTA,PHI,1,11:42,PHI,Andre Drummond,[PHI 2-0] Drummond Turnaround Jump Shot: Made (2 PTS),2
2021-11-16,22100212,LAC,SAS,1,11:27,SAS,Derrick White,[SAS 3-0] White 3pt Shot: Made (3 PTS) Assist: Johnson (1 AST),3
2021-11-17,22100213,CHA,WAS,1,11:30,CHA,Gordon Hayward,[CHA 2-0] Hayward Pullup Jump shot: Made (2 PTS) Assist: Ball (1 AST),2
2021-11-17,22100214,DET,IND,1,11:43,IND,Kelan Martin,[IND 2-0] Martin Pullup Jump shot: Made (2 PTS),2
2021-11-17,22100215,ATL,BOS,1,11:30,ATL,Clint Capela,[ATL 2-0] Capela Alley Oop Layup shot: Made (2 PTS) Assist: Young (1 AST),2
2021-11-17,22100216,BKN,CLE,1,11:26,BKN,Kevin Durant,[BKN 2-0] Durant Running Dunk Shot: Made (2 PTS) Assist: Harden (1 AST),2
2021-11-17,22100217,MIA,NOP,1,11:21,NOP,Devonte' Graham,[NOP 3-0] Graham 3pt Shot: Made (3 PTS) Assist: Hart (1 AST),3
2021-11-17,22100218,NYK,ORL,1,11:35,NYK,Julius Randle,[NYK 3-0] Randle 3pt Shot: Made (3 PTS) Assist: Barrett (1 AST),3
2021-11-17,22100219,MIL,LAL,1,11:12,LAL,Anthony Davis,[LAL 2-0] Davis Turnaround Jump Shot: Made (2 PTS),2
2021-11-17,22100220,MIN,SAC,1,11:21,SAC,Richaun Holmes,[SAC 2-0] Holmes Cutting Dunk Shot: Made (2 PTS) Assist: Fox (1 AST),2
2021-11-17,22100221,OKC,HOU,1,11:37,OKC,Luguentz Dort,[OKC 2-0] Dort Cutting Dunk Shot: Made (2 PTS) Assist: Gilgeous-Alexander (1 AST),2
2021-11-17,22100222,PHX,DAL,1,10:25,DAL,Kristaps Porzingis,[DAL 2-0] Porzingis Layup Shot: Made (2 PTS) Assist: Hardaway Jr. (1 AST),2
2021-11-17,22100223,POR,CHI,1,11:35,POR,Jusuf Nurkic,[POR 1-0] Nurkic Free Throw 1 of 2 (1 PTS),1
2021-11-18,22100224,CLE,GSW,1,11:41,CLE,Isaac Okoro,[CLE 2-0] Okoro Driving Layup Shot: Made (2 PTS),2
2021-11-18,22100225,MIA,WAS,1,11:28,WAS,Aaron Holiday,[WAS 2-0] Holiday Running Finger Roll Layup Shot: Made (2 PTS) Assist: Kuzma (1 AST),2
2021-11-18,22100226,MEM,LAC,1,11:38,MEM,Dillon Brooks,[MEM 2-0] Brooks Pullup Jump shot: Made (2 PTS) Assist: Morant (1 AST),2
2021-11-18,22100227,MIN,SAS,1,11:12,MIN,Anthony Edwards,[MIN 2-0] Edwards Driving Layup Shot: Made (2 PTS),2
2021-11-18,22100228,DEN,PHI,1,11:26,DEN,Will Barton,[DEN 3-0] Barton 3pt Shot: Made (3 PTS) Assist: Morris (1 AST),3
2021-11-18,22100229,UTA,TOR,1,10:58,UTA,Rudy Gobert,[UTA 2-0] Gobert Driving Layup Shot: Made (2 PTS) Assist: Conley (1 AST),2
2021-11-19,22100230,CHA,IND,1,11:40,CHA,Gordon Hayward,[CHA 2-0] Hayward Turnaround Fadeaway shot: Made (2 PTS),2
2021-11-19,22100231,DET,GSW,1,11:24,DET,Killian Hayes,[DET 3-0] Hayes 3pt Shot: Made (3 PTS) Assist: Bey (1 AST),3
2021-11-19,22100232,BOS,LAL,1,11:44,LAL,Anthony Davis,[LAL 1-0] Davis Free Throw 1 of 2 (1 PTS),1
